









Frequency of observations in the selected location(s).:
Number of taxa: 	451

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
eider sp. (<em class="sci">Somateria sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.308E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Harlequin Duck (<em class="sci">Histrionicus histrionicus</em>)	0.0288588	0.0180723	0.0151625	0.0333333	0.0298273	0.0215054	0.0086849	0.0217707	0.0125554	0.0162162	0.0065741	0.0113452	0.0161399	0.0070012	0.0047647	0.0063752	0.0032664	0.001157	0.0020222	9.527E-4	6.201E-4	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	3.331E-4	0.0	0.0	0.0	4.931E-4	0.0	5.333E-4	0.0014184	0.005102	0.0173913	0.0208117	0.0180383	0.0050556	0.0107527	0.007371	0.0063776	0.0121951	
Surf Scoter (<em class="sci">Melanitta perspicillata</em>)	0.049847	0.0348059	0.0303249	0.0359788	0.0486656	0.0274791	0.0322581	0.0355588	0.0273264	0.0337838	0.018992	0.0199892	0.0154674	0.0215869	0.0220369	0.0318761	0.0298647	0.0250675	0.0182002	0.0108613	0.015709	0.003255	0.0050539	0.001514	0.0022393	0.0021779	0.0027833	0.0042042	0.0018553	0.0047414	0.0060319	0.0033311	0.0075	0.019802	0.0294785	0.0463511	0.0622754	0.0688	0.0539007	0.0793651	0.0637681	0.0541103	0.0304397	0.0384226	0.0238949	0.0257985	0.0433673	0.0315965	
White-winged Scoter (<em class="sci">Melanitta deglandi</em>)	0.0459117	0.0481928	0.0476534	0.0507937	0.0478807	0.0340502	0.0388751	0.0428157	0.0258493	0.0344595	0.0357925	0.0280929	0.0174849	0.0157526	0.0154854	0.0086521	0.010266	0.0127266	0.0178632	0.0196265	0.0237702	0.005425	0.0064016	0.0047943	0.006398	0.0058076	0.0035785	0.0072072	0.0102041	0.0137931	0.0116329	0.0076616	0.0145	0.0221594	0.031746	0.0438856	0.0568862	0.064	0.0595745	0.079932	0.0850242	0.0707596	0.0687711	0.0465116	0.0525687	0.039312	0.0688776	0.0620843	
Black Scoter (<em class="sci">Melanitta americana</em>)	0.080892	0.0937082	0.0859206	0.0883598	0.0941915	0.0776583	0.0516956	0.1030479	0.0657312	0.0722973	0.0591673	0.0561858	0.061197	0.0414236	0.0464562	0.034153	0.0424638	0.0343232	0.0519043	0.0483994	0.0535345	0.0180832	0.0097709	0.0116074	0.0070377	0.0068966	0.0063618	0.0087087	0.0111317	0.0056034	0.0077553	0.008994	0.0095	0.0150872	0.0122449	0.020217	0.0335329	0.0373333	0.048227	0.0663265	0.0888889	0.0811655	0.0980834	0.0697674	0.0752688	0.0712531	0.0414541	0.0709534	
Surf/Black Scoter (<em class="sci">Melanitta perspicillata/americana</em>)	8.745E-4	6.693E-4	7.22E-4	0.0010582	7.849E-4	0.0011947	4.136E-4	0.0021771	0.0	6.757E-4	0.0	0.0010805	6.725E-4	5.834E-4	0.0	0.0013661	0.0013999	3.857E-4	0.0010111	0.0015244	4.134E-4	3.617E-4	3.369E-4	0.0	0.0	0.0	3.976E-4	0.0015	4.638E-4	8.621E-4	4.308E-4	3.331E-4	5.0E-4	0.0028289	9.07E-4	0.0029586	0.0017964	0.0021333	0.0070922	0.0068027	0.0096618	0.0083247	0.0033822	0.0	0.0	0.0012285	0.0012755	0.0011086	
scoter sp. (<em class="sci">Melanitta sp.</em>)	0.0043725	0.0026774	0.0115523	0.0068783	0.0102041	0.0011947	0.002895	0.0043541	0.0029542	0.002027	0.0014609	0.0048622	0.004035	0.0	0.0041691	0.0013661	0.005133	0.0038565	0.0050556	0.0034299	0.0016536	0.00217	0.0010108	7.57E-4	3.199E-4	0.0015	7.952E-4	9.009E-4	9.276E-4	0.0025862	8.617E-4	0.0013324	0.0035	0.0070721	0.0099773	0.0172584	0.0143713	0.0229333	0.0248227	0.0351474	0.0338164	0.0312175	0.0157835	0.0060667	0.004779	0.0012285	0.0044643	0.0049889	
Long-tailed Duck (<em class="sci">Clangula hyemalis</em>)	0.2199388	0.2074967	0.201444	0.2195767	0.2276295	0.1642772	0.1439206	0.2278665	0.1462334	0.1756757	0.1197955	0.1058887	0.0766644	0.0495916	0.0273973	0.0204918	0.0167989	0.0119553	0.0104483	0.0053354	0.0070277	0.0018083	0.0023585	0.0017663	0.0012796	3.63E-4	7.952E-4	9.009E-4	0.0032468	0.0017241	0.0	3.331E-4	5.0E-4	4.715E-4	0.0018141	4.931E-4	0.002994	0.0064	0.0184397	0.0776644	0.131401	0.1488033	0.1724915	0.182002	0.1780167	0.1891892	0.2665816	0.2100887	
Bufflehead (<em class="sci">Bucephala albeola</em>)	0.2780936	0.2309237	0.2411552	0.2455026	0.244113	0.2031063	0.191067	0.2721335	0.2038405	0.2	0.182615	0.1663965	0.1694687	0.1452742	0.1226921	0.1047359	0.0699953	0.0208253	0.0040445	7.622E-4	0.0	0.0	3.369E-4	2.523E-4	0.0	0.0015	0.0	3.003E-4	4.638E-4	8.621E-4	0.0	0.0013324	0.0	0.0	0.0	0.0	0.0017964	0.0074667	0.0205674	0.0969388	0.1410628	0.1737773	0.1612176	0.2072801	0.2281959	0.2088452	0.244898	0.231153	
Common Goldeneye (<em class="sci">Bucephala clangula</em>)	0.1827722	0.1773762	0.1790614	0.1910053	0.1962323	0.1624851	0.1621175	0.2169811	0.1587888	0.1736486	0.1504748	0.1129119	0.0726295	0.0332555	0.0166766	0.0086521	0.0023332	0.001157	3.37E-4	1.905E-4	2.067E-4	3.617E-4	0.0010108	0.0	3.199E-4	7.26E-4	7.952E-4	9.009E-4	0.0	4.31E-4	0.0	0.0	0.0	0.0018859	0.0022676	9.862E-4	0.0017964	0.0	7.092E-4	0.0062358	0.0164251	0.0187305	0.0225479	0.0697674	0.088411	0.1093366	0.1830357	0.1590909	
